"","CUE","Nletters","Lg10WF","AoA_Kup_lem"
"129","corn",0.594520547945205,-0.11857157155544,-0.624948949086758
"130","couch",0.00479744136460614,0.140814707662738,-0.476641210021322
"131","cover",-0.131732243229433,-0.07232114030327,-0.0111917022994383
"132","cow",0.178703021370671,0.11436766325622,-0.529594244657332
"133","cowboy",0.0659824046920825,-0.0215527555315589,0.284926686217009
"134","cracker",0.00688172043010749,-0.0338158924291521,-0.371550930107527
"135","crayon",-0.122222222222222,-0.0280971577424243,0.183766088888889
"136","crib",-0.20335429769392,0.0684051715432363,-0.343536556487305
"137","cry",0.0319240724762722,0.048755729716917,-0.460407459232097
"138","cup",-0.0822851153039839,-0.07402584504915,-0.185196142033543
"139","cut",0.0143049932523613,0.113156041832771,-0.510909377732793
"140","cute",0.272727272727272,0.13106976094919,-0.322764995454546
"141","daddy",-0.782608695652174,0.262102410058677,-0.975776942028985
"142","dance",-0.264691296801389,-0.00332553873338437,-0.678058764071411
"143","dark",-0.0923076923076929,0.130905205776295,-0.544224276923077
"144","day",-0.117216117216117,-0.0204275449872009,-0.183192144566545
"145","deer",-0.0220298977183315,0.147362994300755,-0.71013354169945
"146","diaper",0.37030303030303,-0.0850002480891443,-0.16184643030303
"147","did",-0.267813765182186,-0.135194754756961,-0.28772156082996
"148","dinner",0.275889644142343,-0.0407778286516391,-0.320633197520992
"149","dirty",0.142031480570585,0.00192567811413191,-0.533228514756518
"150","dish",0.580847723704866,-0.0121990570295178,0.00143126844583996
"151","do",-0.297726990435971,0.0158624804804091,-0.343945948826232
"152","doctor",-0.380781212556913,-0.0174002337584449,-0.78086459765157
"153","dog",-0.227574750830565,-0.0277666520114441,-0.236565534883721
"154","doll",-0.416863672182822,0.418213608812992,-1.03596527659574
"155","don't",-0.0900562851782363,-0.181237529155388,0.141483307129455
"156","donkey",-0.227232142857143,-0.113610927917205,0.033694762053571
"157","donut",-0.115136876006441,-0.0463895062073152,-0.852651499194847
"158","door",-0.114285714285714,0.290384232086497,-0.696399471428571
"159","down",-0.251408450704225,0.188575050294597,-0.138501975633803
"160","draw",-0.096157190053904,0.116107768484574,-0.69951045348635
"161","drawer",-0.196124290010023,0.0985144294696174,-0.544502053458069
"162","dress",-0.393675889328063,0.150912231630661,-0.565843182476943
"163","drive",-0.254208754208754,0.0131329012219141,-0.656019450336701
"164","drop",0.137792305758109,-0.208639746810229,0.0934089427960769
"165","dryer",-0.185314685314686,-0.0598323796180202,-0.156898666666667
